,number,name,code
205,ARTSVIS160A,Duke-Administered Study Abroad: Special Projects in Visual Arts,[]
206,ARTSVIS190FS,Topics in Visual Arts,[]
207,ARTSVIS196FS,The Photobook: History & Practice,[]
208,ARTSVIS198,Experimental Interface Design,[]
209,ARTSVIS199,Drawing,[]
210,ARTSVIS102,Introduction to the Arts of the Moving Image,[]
211,VMS106S,The Documentary Experience: A Video Approach,[]
212,ARTSVIS115S,Introduction to Photography,[]
213,VMS130,Anthropology and Film,[]
214,VMS131,Experimental Drawing: Image and Bit Play,[]
215,VMS150,Introduction to Astronomy,[]
216,VMS170,Advertising and Society: Global Perspective (DS4),[]
217,VMS170D,Advertising and Society: Global Perspective (DS4),[]
218,VMS172,Complex Systems & Evolving Multiagent Simulations,[]
219,VMS172FS,"Artificial Life, Culture, and Evolution",[]
220,VMS180,Introduction to Cultural Studies,[]
221,VMS190A,Duke Administered Study Abroad: Special Topics in Visual Studies,[]
222,VMS190S,Special Topics in Visual and Media Studies,[]
223,ARTSVIS196FS,The Photobook: History & Practice,[]
224,ARTSVIS198,Experimental Interface Design,[]
225,ARTHIST 290,Splendor of Renaissance Venice,[]
226,VMS203,"Visualizing Cultural Dissent in Modernism, 1880-1945",[]
227,ARTHIST203,"Visualizing Cultural Dissent in Modernism, 1880-1945",[]
228,ARTHIST205,The Aegean Bronze Age,[]
229,ARTHIST206,Early Greek Archaeology: From the Fall of Mycenae to the Persian Wars,[]
230,ARTHIST207,"Classical Greek Archaeology, Archaic to Classical",[]
231,ARTHIST208,Art and Archaeology of Ancient Athens,[]
232,ARTHIST209A,Rome: History of the City,[]
233,ARTHIST210,The Art of Greece and Rome,[]
234,ARTHIST225,Gothic Cathedrals,[]
235,ARTHIST226,Medieval Architecture,[]
236,ARTHIST227,Eighteenth-Century Art and Architecture,[]
237,ARTHIST229,Contemporary Performance,[]
238,VMS242,History of Art Markets,[]
239,ARTHIST232,"Japanese Art, 1600 to the Present",[]
240,ARTHIST233,Japanese Print Culture,[]
241,ARTHIST238,Science Fiction Film,[]
242,ARTHIST250,Introduction to Modern Latin American Art and Visual Culture,[]
243,ARTHIST255,Art in Renaissance Italy,[]
244,ARTHIST255A,Renaissance and Baroque Art History,[]
245,ARTHIST256,Art in Spain During the Golden Age,[]
246,ARTHIST258FS,Renaissance Architecture in Italy: Brunelleschi to Michelangelo,[]
247,ARTHIST259,Michelangelo in Context,[]
248,ARTHIST260,French Art and Visual Culture in the Early Modern Period,[]
249,ARTHIST261,The Contemporary Art Market,[]
250,VMS262A,History of Netherlandish Art in a European Context,[]
