,number,name
319,BIOLOGY650, Molec Popula Genetics
320,BIOLOGY701, Graduate School 101
321,BIOLOGY702, Succeeding Beyond Grad School
322,BIOLOGY704, Biological Oceanography
323,BIOLOGY705, Seminar Teaching Biology
324,BIOLOGY711, Ecology Seminar
325,BIOLOGY712, Plant Systematics Sem
326,BIOLOGY718, Dev/Cell/Molec Bio Sem
327,BIOLOGY728, Genetic Solutns Biol Problems
328,BIOLOGY773, Marine Ecology
329,BIOLOGY777, Marine Invertebrate Zoo
330,BIOLOGY791, Tutorial
331,BIOLOGY792, Research
332,BIOLOGY841, Eco Perspectives: Indiv/Cmty
333,BIOSTAT701, Intro / Stats Theory/Method I
334,BIOSTAT702, Applied Biostat Methods I
335,BIOSTAT703, Intro To Practice / Biostat I
336,BIOSTAT707, Statistical Methods For L & D
337,BIOSTAT713, Survival Analysis
338,BIOSTAT714, Categorical Data Analysis
339,BIOSTAT719, Generalized Linear Models
340,BIOSTAT720, Master'S Project
341,BIOSTAT721, Intro To Stats Programming I
342,BIOSTAT801, Biostat Career Prep/Dev I
343,BIOSTAT900, Current Problems In Biostat
344,BIOSTAT901, Inferential Techniques/Theory
345,BME195, Medical Instrumentation
346,BME244, Quant Physiology Biostat Appl
347,BME260, Models Cell And Mol Systems
348,BME271, Signals And Systems
349,BME354, Intro Medical Instrumentation
350,BME394, Projects In Biomed Eng
351,BME432, Biomech Vehicle Safety Egr
352,BME460, Devices For Ppl W/Disabilites
353,BME462, Design Developing World
354,BME464, Medical Instrument Dsgn
355,BME493, Projects In Biomed Eng
356,BME494, Projects In Biomed Eng
357,BME503, Computational Neuroengineering
358,BME507, Cardiovascular System Egr
359,BME512, Cardiac Bioelectricity
360,BME525, Biomedical Materials
361,BME529, Theortical & Applied Poly Sci
362,BME542, Ultrasound Imaging
363,BME543, Card Ultrasound Image & Funct
364,BME551, Bme Opt Spect Tissue Optics
365,BME552, Advanced Optics
366,BME561, Genome Science Technology Lab
367,BME567, Biosensors
368,BME570, Intro Biomolecular Egr
369,BME574, Gene Circuits
370,BME590, Special Topics
371,BME609, Optics & Photonics Seminar Ser
372,BME702, Bme Graduate Seminars
373,BME711, Biological Engineering Sem
374,BME728, Bme Ta Seminar 1
375,BME729, Teaching Seminar 2
376,BME733, Experiment Design & Statistics
377,BME789, Bme Internship
378,BME790, Adv Top For Grads In Bme
379,BME791, Grad Independent Study
380,BME792, Grad Independent Study
381,BME899, Special Readings
382,BSP301, Research In Bsp
383,CANADIAN350, The U.S. Border
384,CBB510, Comp Bio Seminar
385,CBB520, Genome Tools And Technologies
386,CBB561, Genome Science Technology Lab
387,CBB574, Gene Circuits
388,CBB591, Independent Study
389,CBB658, Structural Biochemistry I
390,CBB659, Structural Biochemistry Ii
391,CEE160, Intro To Environ Egr And Sci
392,CEE205, Practical Methods In Ce
393,CEE293, Research Indep Study In Cee
394,CEE301, Fluid Mechanics
395,CEE311, Arch Engineering I
396,CEE393, Research Indep Study In Cee
397,CEE421, Matrix Struct Analysis
398,CEE423, Metallic Structures
399,CEE461, Chem Principles In Env Eng
400,CEE463, Water Resources Egr
401,CEE490, Special Topics In Cee
402,CEE491, Independent Study In Cee
403,CEE493, Research Indep Study In Cee
404,CEE511, Construction Management
405,CEE520, Continuum Mechanics
406,CEE530, Finite Element Method
407,CEE541, Structural Dynamics
408,CEE560, Environmental Transport
409,CEE561, Environmental Aquatic Chem
410,CEE563, Chem Fate Org Compounds
411,CEE566, Environmental Microbiology
412,CEE625, Intermediate Dynamics
413,CEE627, Linear System Theory
414,CEE675, Remote Sensing Of The Environ
415,CEE683, Groundwater Hydrology
416,CEE687, Hydrology Modeling
417,CEE690, Advanced Topics In Cee
418,CEE691, Independent Study In Cee
419,CEE701, Graduate Colloquium
420,CEE780, Internship
